Spanish	n(f,p,c) --> ['alumnas'].	English	n(p,nac) --> ['students'].	{}	1
Spanish	n(f,p,c) --> ['bicicletas'].	English	n(p,nac) --> ['bicycles'].	{}	1
Spanish	n(f,p,c) --> ['camas'].	English	n(p,nac) --> ['beds'].	{}	1
Spanish	n(f,p,c) --> ['camisetas'].	English	n(p,nac) --> ['t-shirts'].	{}	1
Spanish	n(f,p,c) --> ['flores'].	English	n(p,nac) --> ['flowers'].	{}	1
Spanish	n(f,p,c) --> ['llaves'].	English	n(p,nac) --> ['keys'].	{}	1
Spanish	n(f,p,c) --> ['manzanas'].	English	n(p,ac) --> ['apples'].	{}	1
Spanish	n(f,p,c) --> ['mesas'].	English	n(p,nac) --> ['tables'].	{}	1
Spanish	n(f,p,c) --> ['mujeres'].	English	n(p,nac) --> ['women'].	{}	1
Spanish	n(f,p,c) --> ['niñas'].	English	n(p,nac) --> ['girls'].	{}	1
Spanish	n(f,p,c) --> ['pelotas'].	English	n(p,nac) --> ['balls'].	{}	1
Spanish	n(f,p,c) --> ['sillas'].	English	n(p,nac) --> ['chairs'].	{}	1
Spanish	n(f,p,c) --> ['tazas'].	English	n(p,nac) --> ['cups'].	{}	1
Spanish	n(f,s,c) --> ['alumna'].	English	n(s,nac) --> ['student'].	{}	1
Spanish	n(f,s,c) --> ['bicicleta'].	English	n(s,nac) --> ['bicycle'].	{}	1
Spanish	n(f,s,c) --> ['cama'].	English	n(s,nac) --> ['bed'].	{}	1
Spanish	n(f,s,c) --> ['camisa'].	English	n(s,nac) --> ['shirt'].	{}	1
Spanish	n(f,s,c) --> ['camiseta'].	English	n(s,nac) --> ['t-shirt'].	{}	1
Spanish	n(f,s,c) --> ['doctora'].	English	n(s,nac) --> ['doctor'].	{}	1
Spanish	n(f,s,c) --> ['falda'].	English	n(s,nac) --> ['skirt'].	{}	1
Spanish	n(f,s,c) --> ['falda'].	English	n(s,nac) --> ['skirt'].	{}	1
Spanish	n(f,s,c) --> ['flor'].	English	n(s,nac) --> ['flower'].	{}	1
Spanish	n(f,s,c) --> ['luna'].	English	n(s,nac) --> ['moon'].	{}	1
Spanish	n(f,s,c) --> ['maestra'].	English	n(s,nac) --> ['teacher'].	{}	1
Spanish	n(f,s,c) --> ['manzana'].	English	n(s,ac) --> ['apple'].	{}	1
Spanish	n(f,s,c) --> ['mesa'].	English	n(s,nac) --> ['table'].	{}	1
Spanish	n(f,s,c) --> ['mujer'].	English	n(s,nac) --> ['woman'].	{}	1
Spanish	n(f,s,c) --> ['niña'].	English	n(s,nac) --> ['girl'].	{}	1
Spanish	n(f,s,c) --> ['pelota'].	English	n(s,nac) --> ['ball'].	{}	1
Spanish	n(f,s,c) --> ['taza'].	English	n(s,nac) --> ['cup'].	{}	1
Spanish	n(f,s,uc) --> ['leche'].	English	n(s,uc) --> ['milk'].	{}	1
Spanish	n(m,p,c) --> ['adultos'].	English	n(p,ac) --> ['adults'].	{}	1
Spanish	n(m,p,c) --> ['alumnos'].	English	n(p,nac) --> ['students'].	{}	1
Spanish	n(m,p,c) --> ['árboles'].	English	n(p,nac) --> ['trees'].	{}	1
Spanish	n(m,p,c) --> ['bolígrafos'].	English	n(p,nac) --> ['pens'].	{}	1
Spanish	n(m,p,c) --> ['caballos'].	English	n(p,nac) --> ['horses'].	{}	1
Spanish	n(m,p,c) --> ['carros'].	English	n(p,nac) --> ['cars'].	{}	1
